id,release_date,revenue,status,tagline,title,video
862,1995-10-30,373554033.0,Released,,Toy Story,False
8844,1995-12-15,262797249.0,Released,Roll the dice and unleash the excitement!,Jumanji,False
15602,1995-12-22,0.0,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,False
31357,1995-12-22,81452156.0,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,False
11862,1995-02-10,76578911.0,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,False
949,1995-12-15,187436818.0,Released,A Los Angeles Crime Saga,Heat,False
11860,1995-12-15,0.0,Released,You are cordially invited to the most surprising merger of the year.,Sabrina,False
45325,1995-12-22,0.0,Released,The Original Bad Boys.,Tom and Huck,False
9091,1995-12-22,64350171.0,Released,Terror goes into overtime.,Sudden Death,False
710,1995-11-16,352194034.0,Released,No limits. No fears. No substitutes.,GoldenEye,False
9087,1995-11-17,107879496.0,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,False
12110,1995-12-22,0.0,Released,,Dracula: Dead and Loving It,False
21032,1995-12-22,11348324.0,Released,Part Dog. Part Wolf. All Hero.,Balto,False
10858,1995-12-22,13681765.0,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,False
1408,1995-12-22,10017322.0,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False
524,1995-11-22,116112375.0,Released,No one stays at the top forever.,Casino,False
4584,1995-12-13,135000000.0,Released,Lose your heart and come to your senses.,Sense and Sensibility,False
5,1995-12-09,4300000.0,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False
9273,1995-11-10,212385533.0,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,False
11517,1995-11-21,35431113.0,Released,"Get on, or GET OUT THE WAY!",Money Train,False
8012,1995-10-20,115101622.0,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,False
1710,1995-10-27,0.0,Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,False
9691,1995-10-06,30303072.0,Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,False
12665,1995-10-27,0.0,Released,An extraordinary encounter with another human being.,Powder,False
451,1995-10-27,49800000.0,Released,I Love You... The Way You Are.,Leaving Las Vegas,False
16420,1995-12-15,0.0,Released,"Envy, greed, jealousy and love.",Othello,False
9263,1995-10-20,27400000.0,Released,In every woman there is the girl she left behind.,Now and Then,False
17015,1995-09-27,0.0,Released,,Persuasion,False
902,1995-05-16,1738611.0,Released,Where happily ever after is just a dream.,The City of Lost Children,False
37557,1995-04-30,0.0,Released,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,False
9909,1995-08-11,180000000.0,Released,She broke the rules... and changed their lives.,Dangerous Minds,False
63,1995-12-29,168840000.0,Released,The future is history.,Twelve Monkeys,False
78802,1996-09-18,0.0,Released,,Wings of Courage,False
9598,1995-07-18,254134910.0,Released,A little pig goes a long way.,Babe,False
47018,1995-11-08,0.0,Released,A Love so Unusual it has to be True,Carrington,False
687,1995-12-29,39363635.0,Released,,Dead Man Walking,False
139405,1995-10-20,0.0,Released,,Across the Sea of Time,False
33689,1995-11-17,0.0,Released,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,False
